_key,cik_str,ticker,title
0,320193,AAPL,Apple Inc.
1,789019,MSFT,MICROSOFT CORP
2,1318605,TSLA,"Tesla, Inc."
3,1067983,BRK-B,BERKSHIRE HATHAWAY INC
4,731766,UNH,UNITEDHEALTH GROUP INC
5,1046179,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD
6,1403161,V,VISA INC.
7,1326801,META,"Meta Platforms, Inc."
8,200406,JNJ,JOHNSON & JOHNSON
9,1045810,NVDA,NVIDIA CORP
10,884394,SPY,SPDR S&P 500 ETF TRUST
11,34088,XOM,EXXON MOBIL CORP
12,824046,LVMUY,LVMH MOET HENNESSY LOUIS VUITTON
13,104169,WMT,Walmart Inc.
14,80424,PG,PROCTER & GAMBLE Co
15,1141391,MA,Mastercard Inc
16,19617,JPM,JPMORGAN CHASE & CO
17,354950,HD,"HOME DEPOT, INC."
18,93410,CVX,CHEVRON CORP
19,59478,LLY,ELI LILLY & Co
20,78003,PFE,PFIZER INC
21,21344,KO,COCA COLA CO
22,70858,BAC,BANK OF AMERICA CORP /DE/
23,1551152,ABBV,AbbVie Inc.
24,1577552,BABA,Alibaba Group Holding Ltd
25,909832,COST,COSTCO WHOLESALE CORP /NEW
26,77476,PEP,PEPSICO INC
27,353278,NVO,NOVO NORDISK A S
28,937966,ASML,ASML HOLDING NV
29,97745,TMO,THERMO FISHER SCIENTIFIC INC.
30,310158,MRK,"Merck & Co., Inc."
31,1730168,AVGO,Broadcom Inc.
32,1094517,TM,TOYOTA MOTOR CORP/
33,796343,ADBE,ADOBE INC.
34,313616,DHR,DANAHER CORP /DE/
35,1341439,ORCL,ORACLE CORP
36,901832,AZN,ASTRAZENECA PLC
37,1744489,DIS,Walt Disney Co
38,1467373,ACN,Accenture plc
39,811809,BHP,BHP Group Ltd
40,1800,ABT,ABBOTT LABORATORIES
41,1306965,SHEL,Shell plc
42,63908,MCD,MCDONALDS CORP
43,1108524,CRM,"Salesforce, Inc."
44,1114448,NVS,NOVARTIS AG
45,732712,VZ,VERIZON COMMUNICATIONS INC
46,858877,CSCO,"CISCO SYSTEMS, INC."
47,1283699,TMUS,"T-Mobile US, Inc."
48,320187,NKE,"NIKE, Inc."
49,753308,NEE,NEXTERA ENERGY INC
50,1090727,UPS,UNITED PARCEL SERVICE INC
